AAA
1
1	2014	7	14	6	30	140	120
2	2014	7	15	6	30	140	120
3	2014	7	16	15	0	140	120
4	2014	7	17	7	0	140	120
5	2014	7	18	12	0	140	120
6	2014	7	21	6	30	140	120
7	2014	7	21	12	0	140	120
8	2014	7	25	6	0	140	120
9	2014	7	26	9	0	140	120
10	2014	7	27	22	0	140	120
11	2014	7	31	6	30	140	120
12	2014	7	31	16	30	140	120
13	2014	8	1	6	30	140	120
14	2014	8	3	6	30	140	120
15	2014	8	4	8	0	140	120
16	2014	8	5	14	0	140	120
17	2014	8	7	7	0	140	120
18	2014	8	10	12	30	140	120
19	2014	8	11	9	0	140	120
20	2014	8	13	6	30	140	120
21	2014	8	16	6	0	140	120
22	2014	8	17	7	30	140	120
23	2014	8	18	10	30	140	120
24	2014	8	19	21	30	140	120
25	2014	8	21	7	0	140	120
26	2014	8	24	6	30	140	120
27	2014	8	25	19	0	140	120
28	2014	8	27	6	30	140	120
29	2014	8	30	10	0	140	120
30	2014	8	30	12	30	140	120


 
