House1	3197
	3367
	3371
House1	3809
	3759
	3736
House1	5696
	5696
	5694
House1	4318
	4318
	4315
House1	4305
	4305
	4308
House1	4850
	4960
	4901
House1	4078
	3858
	3917
House1	4213
	4263
	4263
House1	4569
	4749
	4696
House1	3582
	3462
	3515
House1	3748
	3828
	3877
House1	4261
	4301
	4247
House1	4051
	3891
	3896
House1	5695
	5705
	5646
House1	4997
	5027
	5086
House1	3574
	3574
	3516
House1	4294
	4294
	4349
House1	6334
	6334
	6335
House1	5214
	5214
	5164
House1	3588
	3588
	3640
House1	2990
	2990
	2990
House1	4373
	4373
	4373
House1	3764
	3884
	3830
House1	4838
	4718
	4772
House1	4507
	4507
	4507
House1	3935
	3935
	3933
House1	3781
	3741
	3686
House1	4698
	4798
	4802
House1	3191
	3131
	3184
House1	3866
	3986
	3931
House1	4499
	4409
	4410
House1	3651
	3621
	3675
House1	5301
	5321
	5301
House1	3578
	3548
	3568
House1	4807
	4817
	4817
House1	4465
	4465
	4475
House1	4254
	4254
	4237
House1	5517
	5637
	5593
House1	3991
	3871
	3922
House1	6189
	6229
	6265
House1	4556
	4516
	4480
House1	5198
	5078
	5021
House1	3489
	3609
	3666
House1	5394
	5514
	5514
House1	4441
	4321
	4270
House1	3378
	3378
	3429
House1	5119
	5239
	5241
House1	4921
	4801
	4799
House1	5610
	5610
	5610
House1	4066
	4066
	4068
House1	3929
	3809
	3841
House1	4737
	4857
	4823
House1	3493
	3493
	3493
House1	2999
	2999
	2997
House1	4327
	4327
	4331
House1	4625
	4505
	4562
House1	4257
	4257
	4146
House1	3497
	3617
	3669
House1	4362
	4362
	4362
House1	4359
	4359
	4359
House1	5639
	5639
	5639
House1	4952
	4952
	4952
House1	5745
	5745
	5745
House1	5584
	5584
	5584
House1	3620
	3680
	3623
House1	4503
	4443
	4462
House1	5241
	5181
	5244
House1	3107
	3287
	3205
House1	4677
	4557
	4602
House1	5655
	5655
	5678
House1	4379
	4379
	4402
House1	5939
	5939
	5905
House1	4876
	4876
	4875
House1	4280
	4280
	4281
House1	3072
	2972
	2912
House1	5723
	5803
	5812
House1	3981
	4001
	4052
House1	4973
	5093
	5091
House1	4171
	3931
	3933
House1	5505
	5625
	5626
House1	5116
	5116
	5115
House1	3461
	3461
	3461
House1	5024
	5024
