357	279.864	302.164
370.471	283.159	330.477
365.255	298.666	318.717
387.18	313.969	340.514
431.206	316.034	348.369
376.851	301.199	330.298
341.521	284.092	302.06
381.168	314.524	342.399
359.095	283.661	314.697
360.242	287.916	313.154
393.174	312.257	349.76
334.668	283.183	298.939
417.099	320.734	340.392
367.716	298.562	326.987
394.822	319.322	345.275
413.913	310.246	346.774
422.571	331.069	350.867
358.781	310.098	340.147
356.933	290.036	315.131
378.321	303.769	332.859
358.02	283.654	304.23
361.703	288.619	315.725
370.207	305.345	318.505
392.359	327.285	352.96
368.782	303.3	330.068
367.044	295.623	324.37
380.145	313.696	341.797
363.787	282.709	313.959
373.174	293.144	312.999
377.51	317.009	336.706
391.474	309.271	354.827
403.303	306.602	337.681
366.568	302.593	322.321
418.204	314.669	337.077
371.751	328.575	349.633
357.949	297.799	331.177
384.147	314.239	335.177
367.839	306.979	324.572
373.45	302.654	325.227
389.701	289.536	312.294
372.035	309.527	330.641
382.873	304.077	329.179
370.351	297.927	315.294
380.391	303.527	333.19
389.338	314.934	342.184
405.364	304.177	346.965
369.424	303.091	324.014
361.282	305.543	317.828
373.314	304.152	332.901
404.362	317.367	340.955
403.689	314.801	332.55
379.838	302.15	336.916
342.635	288.012	304.948
347.375	289.094	304.339
360.441	290.839	317.253
373.671	307.776	334.914
359.968	281.531	300.509
383.691	286.143	310.945
420.784	336.377	362.972
438.075	363.96	395.357
339.901	285.144	304.239
347.299	281.443	293.614
391.865	315.269	346.647
376.005	315.496	346.359
381.58	321.041	357.681
372.71	306.568	332.401
404.869	321.936	349.083
340.08	276.811	304.925
371.952	297.62	331.153
347.705	286.385	301.573
338.508	280.631	299.209
382.327	294.434	330.93
357.931	290.269	315.071
404.54	313.924	341.496
369.612	302.75	331.377
371.83	309.196	328.872
393.573	330.875	339.18
386.373	305.146	342.367
439.826	343.626	386.2
323.46	278.372	301.833
395.107	306.401	330.41
380.988	320.631	350.063
394.568	334.87	348.101
372.486	311.507	340.479
371.491	296.497	306.737
400.608	311.991	337.201
363.953	275.576	318.708
356.248	287.652	317.748
383.628	300.928	332.568
385.785	327.255	346.159
342.151	274.316	295.009
377.776	291.718	323.743
355.048	304.382	321.68
351.356	295.058	311.984
393.027	306.064	338.962
405.357	320.977	342.006
421.161	327.459	366.734
410.009	341.92	369.659
386.497	295.056	334.822
346.845	289.392	318.415
